STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HND,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2016,19.8,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Honduras,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HUN,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2016,1.6,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Hungary,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ISL,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2016,0.0,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Iceland,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2016,18.0,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Indonesia,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IRN,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2016,3.0,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Iran, Islamic Rep.",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HIC,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2001,1.3,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,High income,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDA,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2001,57.8,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,IDA total,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LCN,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2001,17.9,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Latin America & Caribbean,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LMY,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2001,43.9,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Low & middle income,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LIC,WB_WDI_SI_POV_DDAY,_T,_T,_T,PT_POP,_Z,_Z,_Z,2001,62.5,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Low income,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
